,player_name,height (in),pts,reb,ast,college,country,team,2020-21
366,John Collins,82.0,15.0,8.55,1.65,Wake Forest,USA,ATL,"$4,137,302 "
371,John Wall,76.0,21.066666666666666,3.8333333333333335,9.666666666666666,Kentucky,USA,WAS,"$41,254,920 "
375,Jon Leuer,82.0,6.466666666666666,3.9333333333333336,0.7999999999999999,Wisconsin,USA,DET,"$3,169,348 "
380,Jonathan Isaac,82.0,7.5,4.6,0.9,Florida State,USA,ORL,"$7,362,566 "
383,Jordan Clarkson,77.0,15.133333333333335,3.0,2.566666666666667,Missouri,USA,CLE,"$11,500,000 "
392,Josh Gray,73.0,6.4,2.0,2.4,None,USA,PHX,"$1,620,564 "
393,Josh Hart,77.0,7.85,3.95,1.35,Villanova,USA,LAL,"$3,491,159 "
395,Josh Jackson,80.0,12.3,4.5,1.9,Kansas,USA,PHX,"$4,767,000 "
398,Josh Okogie,76.0,7.7,2.9,1.2,Georgia Institute of Technology,Nigeria,MIN,"$2,651,040 "
399,Josh Richardson,78.0,13.233333333333334,3.4333333333333336,3.1999999999999997,Tennessee,USA,MIA,"$10,800,000 "
401,Jrue Holiday,76.0,18.533333333333335,4.466666666666667,7.0,UCLA,USA,NOP,"$26,131,111 "
404,Julius Randle,81.0,16.9,8.433333333333332,3.1,Kentucky,USA,LAL,"$18,900,000 "
406,Justin Anderson,78.0,5.666666666666667,2.5,0.6999999999999998,Virginia,USA,PHI,"$125,000 "
409,Justin Holiday,78.0,10.133333333333333,3.5333333333333337,1.7000000000000002,Washington,USA,CHI,"$5,720,400 "
410,Justin Jackson,80.0,6.95,2.7,1.15,North Carolina,USA,SAC,"$5,029,650 "
412,Justise Winslow,79.0,10.433333333333332,5.333333333333333,3.4,Duke,USA,MIA,"$13,000,000 "
417,Karl-Anthony Towns,84.0,23.600000000000005,12.333333333333334,2.8333333333333335,Kentucky,USA,MIN,"$29,430,000 "
418,Kawhi Leonard,79.0,22.766666666666666,5.933333333333334,3.033333333333333,San Diego State,USA,TOR,"$34,379,100 "
421,Kelly Olynyk,84.0,10.166666666666666,5.066666666666666,2.1666666666666665,Gonzaga,Canada,BOS,"$12,198,243 "
422,Kelly Oubre Jr.,79.0,11.1,4.166666666666667,1.0,Kansas,USA,WAS,"$14,375,000 "
423,Kemba Walker,73.0,23.633333333333336,3.8000000000000003,5.666666666666667,Connecticut,USA,CHA,"$34,379,100 "
426,Kenrich Williams,79.0,6.1,4.8,1.8,None,USA,NOP,"$2,000,000 "
427,Kent Bazemore,77.0,11.833333333333334,3.6333333333333333,2.733333333333333,Old Dominion,USA,ATL,"$2,320,044 "
428,Kentavious Caldwell-Pope,77.0,12.866666666666667,3.8000000000000003,2.0,Georgia,USA,LAL,"$12,073,020 "
429,Kevin Durant,81.0,25.833333333333332,7.166666666666667,5.366666666666667,Texas,USA,GSW,"$39,058,950 "
430,Kevin Huerter,79.0,9.7,3.3,2.9,Maryland,USA,ATL,"$2,761,920 "
432,Kevin Love,82.0,17.866666666666667,10.433333333333335,1.9333333333333336,UCLA,USA,CLE,"$31,300,000 "
434,Kevon Looney,81.0,4.266666666666667,3.6,0.8666666666666667,UCLA,USA,GSW,"$4,821,429 "
435,Khem Birch,81.0,4.5,4.05,0.8,UNLV,Canada,ORL,"$3,425,463 "
437,Khris Middleton,80.0,17.700000000000003,5.133333333333333,3.9000000000000004,Texas A&M,USA,MIL,"$33,051,724 "
438,Khyri Thomas,75.0,2.3,0.8,0.3,Creighton,USA,DET,"$744,684 "
439,Klay Thompson,79.0,21.266666666666666,3.766666666666667,2.3333333333333335,Washington State,USA,GSW,"$35,361,360 "
443,Kris Dunn,76.0,9.500000000000002,3.4999999999999996,4.8,Providence,USA,CHI,"$4,767,000 "
446,Kyle Anderson,81.0,6.433333333333334,4.7,2.3333333333333335,UCLA,USA,MEM,"$9,505,100 "
449,Kyle Kuzma,81.0,17.4,5.9,2.15,Utah,USA,LAL,"$3,562,178 "
450,Kyle Lowry,72.33333333333333,17.599999999999998,5.066666666666666,7.533333333333334,Villanova,USA,TOR,"$30,000,000 "
452,Kyle Singler,80.0,2.3499999999999996,1.15,0.25,Duke,USA,OKC,"$999,200 "
454,Kyrie Irving,75.0,24.466666666666665,4.0,5.933333333333333,Duke,Australia,BOS,"$33,329,100 "
455,LaMarcus Aldridge,83.0,20.566666666666666,8.333333333333334,2.1,Texas,USA,SAS,"$19,078,340 "
460,Landry Shamet,77.0,9.1,1.7,1.5,Wichita State,USA,LAC,"$2,090,040 "
461,Langston Galloway,74.0,7.5,1.9333333333333336,1.1333333333333335,None,USA,DET,"$2,028,594 "
463,Larry Nance Jr.,81.0,8.4,6.966666666666666,1.9666666666666668,Wyoming,USA,LAL,"$11,709,091 "
464,Larry Sanders,83.0,0.8,0.8,0.0,Virginia Commonwealth,USA,CLE,"$1,865,547 "
465,Lauri Markkanen,84.0,16.95,8.25,1.2999999999999998,Arizona,Finland,CHI,"$6,731,508 "
467,LeBron James,80.0,27.099999999999998,8.566666666666666,8.7,None,USA,CLE,"$39,219,565 "
471,Lonzo Ball,78.0,10.05,6.1,6.300000000000001,UCLA,USA,LAL,"$11,003,782 "
473,Lou Williams,73.0,20.033333333333335,2.6666666666666665,4.566666666666667,None,USA,HOU,"$8,000,000 "
480,Luke Kennard,77.0,8.649999999999999,2.65,1.75,Duke,USA,DET,"$5,273,826 "
481,Luke Kornet,85.0,6.85,3.05,1.25,Vanderbilt,USA,NYK,"$2,304,878 "
482,Luol Deng,81.0,5.566666666666666,2.8666666666666667,1.0333333333333334,Duke,United Kingdom,LAL,"$4,990,000 "
484,Malcolm Brogdon,77.0,12.933333333333332,3.533333333333333,3.5333333333333337,Virginia,USA,MIL,"$20,700,000 "
487,Malik Beasley,77.0,6.1000000000000005,1.4666666666666668,0.7333333333333334,Florida State,USA,DEN,"$13,325,895 "
488,Malik Monk,75.0,7.800000000000001,1.45,1.5,Kentucky,USA,CHA,"$5,345,687 "
493,Marc Gasol,85.0,16.766666666666666,7.433333333333334,4.4,None,Spain,TOR,"$2,564,753 "
499,Marcus Morris,81.0,14.0,4.6,2.0,Kansas,USA,DET,"$14,883,721 "
502,Marcus Smart,76.0,9.899999999999999,3.4333333333333336,4.466666666666666,Oklahoma State,USA,BOS,"$13,446,428 "
507,Markelle Fultz,76.0,7.6499999999999995,3.4000000000000004,3.45,Washington,USA,PHI,"$12,288,697 "
508,Markieff Morris,82.0,11.633333333333333,5.566666666666666,1.6666666666666667,Kansas,USA,WAS,"$2,331,593 "
509,Marquese Chriss,82.0,7.033333333333334,4.333333333333333,0.7999999999999999,Washington,USA,CLE,"$1,824,003 "
513,Marvin Bagley III,83.0,14.9,7.6,1.0,Duke,USA,SAC,"$8,963,640 "
515,Mason Plumlee,83.0,8.433333333333332,6.433333333333334,2.8000000000000003,Duke,USA,DEN,"$8,000,000 "
519,Matthew Dellavedova,76.0,5.933333333333333,1.7333333333333332,4.1000000000000005,Saint Mary's (CA),Australia,MIL,"$2,174,318 "
520,Maurice Harkless,81.0,8.066666666666666,3.866666666666667,1.0666666666666667,"St. John's, N.Y.",USA,POR,"$3,623,000 "
522,Maxi Kleber,83.0,6.1,3.9499999999999997,0.85,None,Germany,DAL,"$8,250,000 "
525,Meyers Leonard,85.0,4.9,3.0333333333333337,0.9,Illinois,USA,POR,"$9,400,000 "
527,Michael Carter-Williams,78.0,5.333333333333333,2.8666666666666667,2.4,Syracuse,USA,ORL,"$3,000,000 "
530,Mikal Bridges,79.0,8.3,3.2,2.1,Villanova,USA,PHX,"$4,359,000 "
531,Mike Conley,73.0,19.566666666666666,3.0666666666666664,5.6000000000000005,Ohio State,USA,MEM,"$34,504,132 "
535,Mike Muscala,83.0,6.933333333333334,3.8333333333333335,1.2,Bucknell,USA,ATL,"$2,283,034 "
536,Mike Scott,80.0,5.7,2.966666666666667,0.9333333333333335,Virginia,USA,WAS,"$5,005,350 "
538,Miles Bridges,79.0,7.5,4.0,1.2,Michigan State,USA,CHA,"$3,934,320 "
545,Mitchell Robinson,85.0,7.3,6.4,0.6,None,USA,NYK,"$1,663,861 "
546,Mo Bamba,84.0,6.2,5.0,0.8,University of Texas at Austin,USA,ORL,"$5,969,040 "
547,Monta Ellis,75.0,8.5,2.8,3.2,None,USA,IND,"$2,245,400 "
548,Monte Morris,75.0,6.85,1.5499999999999998,2.95,Iowa State,USA,DEN,"$1,663,861 "
549,Montrezl Harrell,80.0,12.233333333333334,4.766666666666667,1.3666666666666665,Louisville,USA,LAC,"$9,258,000 "
550,Moritz Wagner,83.0,4.8,2.0,0.6,Michigan,Germany,LAL,"$2,161,920 "
552,Myles Turner,83.0,13.5,6.966666666666666,1.4000000000000001,Texas,USA,IND,"$18,000,000 "
555,Nemanja Bjelica,82.0,7.533333333333334,4.566666666666666,1.4666666666666668,None,Serbia,MIN,"$7,150,000 "
557,Nerlens Noel,83.0,6.0,5.199999999999999,0.7666666666666666,Kentucky,USA,DAL,"$5,000,000 "
560,Nicolas Batum,80.0,12.0,5.3999999999999995,4.9,None,France,CHA,"$11,608,231 "
569,Noah Vonleh,81.0,5.900000000000001,6.266666666666667,0.9666666666666667,Indiana,USA,NYK,"$263,995 "
570,Norman Powell,76.0,7.5,2.066666666666667,1.3,UCLA,USA,TOR,"$10,865,952 "
572,OG Anunoby,80.0,6.45,2.7,0.7,Indiana,United Kingdom,TOR,"$3,872,215 "
575,Omari Spellman,81.0,5.9,4.2,1.0,Villanova,USA,ATL,"$1,988,280 "
579,P.J. Tucker,78.0,6.699999999999999,5.699999999999999,1.05,Texas,USA,HOU,"$7,969,537 "
582,Pascal Siakam,81.0,9.466666666666667,4.933333333333334,1.8,New Mexico State,Cameroon,TOR,"$29,000,000 "
583,Pat Connaughton,76.66666666666667,4.933333333333334,2.5,1.2666666666666666,Notre Dame,USA,MIL,"$4,938,272 "
585,Patrick Beverley,73.0,9.766666666666666,5.0,3.633333333333333,None,USA,LAC,"$13,333,333 "
586,Patrick McCaw,79.0,3.533333333333333,1.5,1.1666666666666667,Nevada-Las Vegas,USA,GSW,"$4,000,000 "
587,Patrick Patterson,81.0,4.766666666666667,3.0666666666666664,0.7999999999999999,Kentucky,USA,OKC,"$3,814,768 "
589,Patty Mills,72.0,9.799999999999999,1.9666666666666668,3.1,St. Mary's (CA),Australia,SAS,"$13,285,714 "
591,Paul George,81.0,24.53333333333333,6.833333333333333,3.5666666666666664,Fresno State,USA,OKC,"$35,450,412 "
592,Paul Millsap,80.0,15.100000000000001,7.1000000000000005,2.8333333333333335,Louisiana Tech,USA,DEN,"$10,000,000 "
598,Quinn Cook,74.0,7.333333333333333,1.7,2.066666666666667,Duke,USA,GSW,"$1,797,183 "
601,Rajon Rondo,73.0,8.433333333333334,4.8,7.633333333333333,Kentucky,USA,CHI,"$7,500,000 "
606,Raul Neto,73.0,4.1000000000000005,1.2333333333333334,1.7333333333333334,None,Brazil,UTA,"$1,882,867 "
610,Reggie Bullock,79.0,9.033333333333333,2.433333333333333,1.4666666666666668,North Carolina,USA,DET,"$4,200,000 "
612,Reggie Jackson,75.0,14.833333333333334,2.533333333333333,4.8999999999999995,Boston College,USA,DET,"$2,331,593 "
615,Richaun Holmes,82.0,8.166666666666666,4.866666666666666,1.0666666666666667,Bowling Green,USA,PHX,"$5,005,350 "
616,Ricky Rubio,76.0,12.299999999999999,4.1,6.833333333333333,None,Spain,UTA,"$17,000,000 "
617,Robert Covington,81.0,12.933333333333335,5.8,1.5999999999999999,Tennessee State,USA,MIN,"$12,138,345 "
619,Robin Lopez,84.0,10.566666666666666,4.933333333333334,1.3666666666666665,Stanford,USA,CHI,"$7,300,000 "
620,Rodions Kurucs,81.0,8.5,3.9,0.8,None,Latvia,BKN,"$1,780,152 "
621,Rodney Hood,80.0,12.866666666666665,2.8000000000000003,1.6666666666666667,Duke,USA,CLE,"$10,047,450 "
622,Rodney McGruder,76.0,6.366666666666667,2.9,1.4000000000000001,Kansas State,USA,MIA,"$5,000,000 "
629,Royce O'Neale,78.0,5.1,3.45,1.45,Baylor,USA,UTA,"$8,035,714 "
630,Rudy Gay,80.0,14.633333333333333,6.066666666666666,2.233333333333333,Connecticut,USA,SAC,"$14,000,000 "
631,Rudy Gobert,85.0,14.466666666666667,12.133333333333333,1.5333333333333332,None,France,UTA,"$26,525,281 "
632,Russell Westbrook,75.0,26.633333333333336,10.633333333333333,10.466666666666667,UCLA,USA,OKC,"$41,358,814 "
633,Ryan Anderson,82.0,8.466666666666667,3.9333333333333336,0.8666666666666667,California,USA,HOU,"$5,214,583 "
634,Ryan Arcidiacono,75.0,4.35,1.85,2.4,Villanova,USA,CHI,"$3,000,000 "
644,Semi Ojeleye,79.0,3.0,1.85,0.35,Southern Methodist,USA,BOS,"$1,752,950 "
645,Serge Ibaka,82.0,14.133333333333335,7.066666666666666,1.0,None,Democratic Republic of the Congo,TOR,"$9,258,000 "
647,Seth Curry,74.0,10.350000000000001,2.1,1.8,Duke,USA,DAL,"$7,813,953 "
650,Shai Gilgeous-Alexander,78.0,10.8,2.8,3.3,Kentucky,Canada,LAC,"$4,141,320 "
651,Shake Milton,78.0,4.4,1.8,0.9,Southern Methodist,USA,PHI,"$1,701,593 "
653,Shaquille Harrison,76.0,6.55,2.85,2.15,Tulsa,USA,CHI,"$770,433 "
654,Shaun Livingston,79.0,4.866666666666666,1.8666666666666665,1.8666666666666665,None,USA,GSW,"$666,667 "
658,Sindarius Thornwell,77.0,2.45,1.2999999999999998,0.6,South Carolina,USA,LAC,"$747,435 "
660,Solomon Hill,79.0,4.566666666666666,3.266666666666667,1.6333333333333335,Arizona,USA,NOP,"$2,174,318 "
661,Spencer Dinwiddie,78.0,12.233333333333333,2.7999999999999994,4.766666666666667,Colorado,USA,BKN,"$11,454,048 "
663,Stanley Johnson,79.0,6.666666666666667,3.1666666666666665,1.4333333333333333,Arizona,USA,DET,"$3,801,000 "
664,Stephen Curry,75.0,26.333333333333332,4.966666666666666,5.966666666666666,Davidson,USA,GSW,"$43,006,362 "
666,Sterling Brown,78.0,5.2,2.9000000000000004,0.95,Southern Methodist,USA,MIL,"$1,678,854 "
668,Steven Adams,84.0,13.033333333333333,8.733333333333333,1.3,Pittsburgh,New Zealand,OKC,"$27,528,090 "
670,T.J. McConnell,74.0,6.533333333333334,2.7999999999999994,4.666666666666667,Arizona,USA,PHI,"$3,500,000 "
671,T.J. Warren,80.0,18.8,4.55,1.4,North Carolina State,USA,PHX,"$11,750,000 "
675,Taj Gibson,81.0,11.266666666666666,6.6000000000000005,1.0999999999999999,USC,USA,MIN,"$3,283,684 "
678,Taurean Prince,80.0,11.100000000000001,3.6666666666666665,1.866666666666667,Baylor,USA,ATL,"$13,942,308 "
679,Terrance Ferguson,79.0,5.0,1.35,0.65,None,USA,OKC,"$3,944,013 "
681,Terrence Ross,79.0,11.6,3.033333333333333,1.4666666666666668,Washington,USA,ORL,"$13,500,000 "
682,Terry Rozier,73.66666666666667,8.6,3.9000000000000004,2.533333333333333,Louisville,USA,BOS,"$18,900,000 "
684,Thaddeus Young,80.0,11.800000000000002,6.3,2.0,Georgia Tech,USA,IND,"$13,545,000 "
686,Thomas Bryant,82.5,6.0,3.7,0.8500000000000001,Indiana,USA,WAS,"$8,333,333 "
689,Thon Maker,85.0,4.6000000000000005,2.733333333333333,0.5666666666666667,None,South Sudan,MIL,"$309,355 "
692,Tim Hardaway Jr.,78.0,16.7,3.3666666666666667,2.466666666666667,Michigan,USA,ATL,"$18,975,000 "
694,Timofey Mozgov,85.0,5.800000000000001,4.050000000000001,0.6000000000000001,None,Russia,LAL,"$5,573,333 "
696,Tobias Harris,81.0,18.233333333333334,6.166666666666667,2.3,Tennessee,USA,PHI,"$33,517,241 "
700,Tony Bradley,82.0,3.3000000000000003,3.1,0.2,North Carolina,USA,UTA,"$3,542,060 "
702,Tony Snell,79.0,7.133333333333333,2.3666666666666667,1.1333333333333335, ,USA,MIL,"$12,178,571 "
703,Torrey Craig,78.5,4.95,3.4,0.8,South Carolina Upstate,USA,DEN,"$1,678,854 "
704,Trae Young,74.0,19.1,3.7,8.1,Oklahoma,USA,ATL,"$6,571,800 "
708,Trevor Ariza,80.0,11.966666666666667,5.166666666666667,2.5,UCLA,USA,WAS,"$12,800,000 "
710,Trey Burke,73.0,9.566666666666668,1.5,3.0666666666666664,Michigan,USA,WAS,"$3,174,603 "
711,Trey Lyles,82.0,8.200000000000001,3.9666666666666663,1.2,Kentucky,USA,UTA,"$5,500,000 "
713,Tristan Thompson,81.33333333333333,8.266666666666667,8.666666666666666,1.2,Texas,Canada,CLE,"$9,258,000 "
714,Troy Brown Jr.,79.0,4.8,2.8,1.5,Oregon,USA,WAS,"$3,372,840 "
717,Troy Williams,79.0,5.933333333333334,2.6999999999999997,0.7000000000000001,Indiana,USA,SAC,"$122,741 "
723,Tyler Johnson,76.0,12.1,3.466666666666667,2.8000000000000003,Fresno State,USA,MIA,"$2,028,594 "
730,Tyus Jones,74.0,5.166666666666667,1.5666666666666667,3.4,Duke,USA,MIN,"$7,965,100 "
731,Udonis Haslem,80.0,1.6666666666666667,1.9000000000000001,0.3333333333333333,Florida,USA,MIA,"$2,564,753 "
733,Victor Oladipo,76.0,19.26666666666667,5.033333333333334,4.033333333333333,Indiana,USA,IND,"$21,000,000 "
739,Wayne Ellington,76.66666666666667,10.666666666666666,2.3000000000000003,1.1666666666666667,North Carolina,USA,MIA,"$3,005,225 "
742,Wendell Carter Jr.,82.0,10.3,7.0,1.8,Duke,USA,CHI,"$5,448,840 "
745,Wesley Matthews,77.0,12.799999999999999,3.033333333333333,2.6333333333333333,Marquette,USA,IND,"$3,623,000 "
746,Will Barton,78.0,13.633333333333333,4.633333333333333,3.466666666666667,Memphis,USA,DEN,"$13,920,000 "
747,Willie Cauley-Stein,84.0,10.933333333333332,6.633333333333333,1.9666666666666668,Kentucky,USA,SAC,"$4,000,000 "
756,Yuta Watanabe,81.0,2.6,2.1,0.5,George Washington,Japan,MEM,"$321,893 "
757,Zach Collins,84.0,5.5,3.75,0.8500000000000001,Gonzaga,USA,POR,"$5,406,255 "
758,Zach LaVine,77.0,19.766666666666666,4.0,3.5,UCLA,USA,MIN,"$19,500,000 "
762,Zhaire Smith,76.0,6.7,2.2,1.7,Texas Tech,USA,PHI,"$3,204,600 "
